,0,1
0,-6560005.772499999,-1143835.1701000002
1,-11978003.445472226,3875645.9143444444
2,-7526005.357600001,238340.78070000006
3,-8282005.032900001,-1168083.871
4,-11600003.607800001,3123936.1866999995
5,-5720006.133300002,68599.87445555566
6,-10508004.07685,3754402.409900001
7,-7232005.4838999985,-1968291.0003999996
8,-7358005.429772222,-1653057.8888000003
9,-7610005.321550001,-877099.4603
10,-4208006.7827,-1143835.1701000002
11,-7064005.556049999,262589.48159999953
12,-5090006.403899998,-828602.0584999998
13,-7568005.3396000005,-1483316.9826000005
14,-8282005.032899999,189843.3789
15,-5552006.205449999,-173887.13449999978
16,-10928003.89645,7488702.3471
17,-7988005.159200001,-852850.7594000003
18,-7400005.411727778,-464871.5451555557
19,-11012003.860372221,2299480.3563999995
20,-4292006.746627778,-852850.7594000003
21,-11810003.517627778,3002692.6822999995
22,-5426006.259572223,-2041037.1031
23,-4796006.530150001,-1677306.5897000004
24,-12104003.391350003,3802899.8116999995
25,-6392005.844672222,-2065285.804
26,-5384006.2776,-949845.5629999996
27,-8114005.105072223,2081242.0483999995
28,-9332004.581927778,5451811.472300001
29,-12398003.2651,3633158.9054
30,-5804006.0972,-1822798.7950555559
31,-5804006.0972,-1871296.1968
32,-8072005.1230999995,311086.8833999998
33,-11390003.698,6349013.405199999
34,-9500004.509800002,7440204.945300001
35,-6476005.8086,-1871296.1968
36,-11936003.4635,3948392.0169999995
37,-6350005.8627,383832.98599999957
38,-7022005.5741,917304.4056000002
39,-6896005.628199998,-2404767.6163999997
40,-8282005.032899999,7367458.8427
41,-6560005.7725,-1919793.5985999994
42,-8156005.087027776,1135542.7136555556
43,-12482003.229,5379065.3696
44,-8072005.1231,-1531814.3844000003
45,-5762006.11525,-1168083.871
46,-11600003.607800001,3899894.6152
47,-4418006.692500001,-1507565.6834999998
48,-9794004.383499999,3924143.3161
49,-7610005.3215499995,-3398964.353
50,-6014006.007027777,-683109.8532000001
51,-5216006.349772222,-1337824.7772
52,-5804006.0972,-1337824.7772000001
53,-5132006.38585,-222384.5362444443
54,-12902003.0486,4797096.5482
55,-10550004.058800003,4651604.3429000005
56,-5636006.1694,-1774301.3933000006
57,-7904005.195272223,-1871296.1967999998
58,-8030005.141150001,-1750052.6924
59,-7820005.231350001,-4247668.884199999
60,-6140005.9529,-1046840.3664999999
61,-9962004.31135,5476060.1732
62,-13028002.994500004,4190879.0259000007
63,-4460006.674472222,-513368.94690000033
64,-7862005.213300001,5330567.967800001
65,-12104003.391350003,5936785.490100001
66,-4502006.656427778,-1798550.0941999995
67,-6518005.790549998,-1847047.4959444446
68,-6518005.790549999,-101141.03179999998
69,-6350005.8627,-1265078.6745555557
70,-4796006.530150001,-1968291.0003999998
71,-6770005.6822999995,-974094.2639000001
72,-10718003.98665,3439169.2983000004
73,-12398003.2651,3584661.5036555557
74,-13028002.994500002,6421759.507900001
75,-10760003.968600001,8119168.5703
76,-6056005.989,-755855.9558444445
77,-7988005.159199999,-1531814.3843999999
78,-7232005.483899999,650568.6958
79,-8618004.8886,-52643.62999999999
80,-9248004.618,8022173.7667
81,-6980005.592127778,-561866.3487
82,-6476005.8086,311086.8833999998
83,-6392005.844672222,-270881.93799999956
84,-6098005.970949999,-1459068.2816999997
85,-6224005.916827778,-998342.9647555553
86,-4880006.4941,-1143835.1701000002
87,-10844003.932527779,2202485.5528999995
88,-10886003.9145,6979479.6284
89,-7988005.159199999,-1677306.5896999997
90,-11684003.57175,2881449.1778
91,-8240005.050950001,553573.8923000005
92,-3956006.890950001,-949845.5629999996
93,-13868002.633700002,7052225.7311
94,-10004004.2933,5112329.6598000005
95,-6644005.736450002,-1580311.7861444445
96,-7400005.411727777,602071.2940555551
97,-11936003.463499999,7925178.9632
98,-8030005.14115,-101141.03179999998
99,-9080004.690172222,5403314.0705
100,-5636006.169400002,214092.07980000044
101,-4880006.4941,-804353.3576000001
102,-4082006.8368277773,-828602.0584999997
103,-4544006.638399999,-1434819.5808
104,-6140005.952900001,-1337824.7772000001
105,-6560005.772499999,-1725803.9915000002
106,-7526005.3576,-780104.6566999998
107,-8660004.87055,941553.1064999998
108,-10760003.968600001,6276267.302600001
109,-5972006.025072221,20102.47269999981
110,-4502006.656427778,-877099.4602999999
111,-10340004.149,4045386.8206
112,-5930006.0431,-1653057.8888000005
113,-6140005.952900001,-28394.9291000002
114,-9794004.383499999,1693262.834155556
115,-11096003.8243,2105490.7493
116,-6938005.610172221,-1653057.8888000003
117,-6140005.952900001,-1483316.9826000005
118,-8618004.8886,577822.5932
119,-6644005.73645,-1095337.7683
120,-10844003.932527779,2250982.9546444444
121,-7610005.32155,-4271917.585055555
122,-13364002.8502,6082277.695400001
123,-8492004.942699999,-1192332.5719000003
124,-14666002.290972222,6639997.8159
125,-4502006.656427778,-1216581.2727999997
126,-8240005.05095,359584.2851444444
127,-7232005.4839,-222384.53624444432
128,-8534004.924700001,480827.7895999998
129,-5090006.4039,-537617.6478
130,-6770005.6822999995,-1265078.6745555557
131,-12608003.1749,3414920.597400001
132,-8324005.014872222,117097.27620000021
133,-4880006.4941,-1192332.5719000006
134,-7400005.41172778,941553.1064999998
135,-7022005.574099999,-1507565.6834999998
136,-8954004.744299999,868807.0038555556
137,-7316005.447799997,-1968291.0003999996
138,-7232005.483899999,-1822798.7950555559
139,-7736005.267399999,-1725803.9914999998
140,-9668004.4376,1523521.9278999995
141,-10718003.98665,5912536.7892
142,-6896005.628199998,-1919793.5985999997
143,-5762006.115249999,92848.57534444498
144,-10886003.914500002,6300516.003455555
145,-8030005.1411500005,674817.3967000004
146,-8282005.032900001,-1604560.4870000002
147,-10676004.0047,5015334.8562
148,-8072005.1230999995,7197717.9364
149,-10256004.185072223,7246215.3382
150,-5678006.151350001,-101141.03180000001
151,-12608003.1749,3948392.017
152,-4376006.710550001,-949845.5629999997
153,-6770005.682300001,141345.9770999998
154,-6140005.9529,-367876.74159999983
155,-4166006.800749999,-925596.8620999999
156,-7064005.556049999,-76892.33090000041
157,-6224005.916827778,-1822798.7950555559
158,-7400005.411727778,-755855.9558444446
159,-11138003.806249999,5282070.566
160,-11852003.499599999,3608910.2045444446
161,-7190005.501927777,577822.5931999999
162,-10256004.185072223,1959998.5439555557
163,-8660004.870549997,5209324.4634
164,-7358005.429772222,529325.1913999999
165,-6266005.898800001,432330.3877999997
166,-5048006.421927778,-416374.1434
167,-8282005.032899999,-586115.0496
168,-10760003.968600001,4918340.0527
169,-10172004.22115,5160827.061599999
170,-4292006.746627777,-610363.7504999996
171,-11096003.8243,2978443.9814
172,-5846006.0792,-537617.6477999998
173,-6518005.790549999,-246633.23709999953
174,-10718003.98665,5185075.7625
175,-8702004.852500001,-246633.2370999996
176,-7484005.375650001,-804353.3576000001
177,-11684003.57175,3123936.1866999995
178,-7904005.195272223,20102.472699999806
179,-9668004.437600002,1475024.5261000004
180,-11432003.68,4627355.642
181,-12566003.192899998,5476060.173199999
182,-5258006.331727778,-1168083.8709999996
183,-7652005.3035,117097.2762000002
184,-6266005.8988,-780104.6566999997
185,-6980005.592127778,-1968291.0003999998
186,-10886003.9145,3730153.709
187,-7316005.447799999,-270881.9379999996
188,-8030005.141150001,-828602.0584999998
189,-10844003.932527777,3317925.793855555
190,-7190005.501927777,-3350466.9511999995
191,-8324005.014872223,-1483316.9826
192,-11516003.6439,3414920.597400001
193,-8072005.1230999995,7052225.7311
194,-8366004.996827777,238340.7807
195,-5762006.11525,-1847047.4959444448
196,-6518005.790549999,480827.78959999984
197,-6224005.916827777,20102.472699999813
198,-6896005.628199999,-367876.7415999999
199,-11936003.4635,2832951.7759999996
200,-7610005.32155,-1701555.2906
201,-5090006.403899998,-1750052.6923999994
202,-6140005.9529,-804353.3576000001
203,-6182005.934872222,-1265078.6745555555
204,-9332004.581927776,4675853.0437555555
205,-7526005.357599998,-1944042.2995
206,-9290004.599972224,6349013.405200001
207,-11306003.7341,2469221.2627000003
208,-12902003.0486,6203521.1999
209,-10970003.878400002,2178236.852
210,-15464001.948227776,7003728.329299999
211,-13112002.9584,5742795.883
212,-6602005.7545,-1168083.8709999998
213,-8156005.087027777,-804353.3576000001
214,-10382004.13095,4166630.3250444443
215,-6770005.6822999995,-1750052.6923999994
216,-5888006.0611499995,262589.4815999996
217,-7232005.483899999,-998342.9647555553
218,-7358005.429772223,-537617.6478
219,-5426006.259572223,-1168083.871
220,-10592004.04075,3511915.401
221,-4880006.4941,-949845.5629999996
222,-6560005.772500001,68599.87445555565
223,-14960002.164699998,6470256.9097
224,-7526005.3576,-343628.0407000002
225,-7652005.3035,-998342.9647555555
226,-7106005.538,-1216581.2728
227,-7484005.37565,-2065285.8039999998
228,-11348003.716050003,4239376.427700001
229,-5678006.15135,-2623005.9244555556
230,-10466004.0949,1935749.8431000004
231,-4376006.71055,-804353.3576000001
232,-10802003.950572222,4069635.5215
233,-7106005.538,-1798550.0941999995
234,-9290004.599972222,3681656.307199999
235,-6014006.007027776,-925596.8621
236,-8408004.9788,-852850.7594000002
237,-7400005.41172778,117097.2762000002
238,-5804006.097200001,262589.4815999996
239,-12986003.012527775,4263625.1286
240,-7442005.393700001,480827.7895999998
241,-11222003.770172222,5670049.7803
242,-7904005.195272223,165594.6780000002
243,-8030005.14115,-1556063.0852555556
244,-11600003.607800001,5063832.258
245,-8912004.762327777,2444972.5618000003
246,-8534004.9247,-1022591.6656444443
247,-8240005.05095,-561866.3487
248,-5930006.0431,-392125.4425000003
249,-12818003.084699998,4166630.3250444443
250,-8030005.1411500005,723314.7984999996
251,-6140005.9529,-1774301.3933
252,-4166006.80075,-1071089.0673999996
253,-12944003.030572224,3996889.4188000006
254,-13280002.88625,6567251.713300001
255,-9878004.347427776,4263625.1285999995
256,-9584004.473699998,3657407.606299999
257,-6812005.664299999,-1677306.5896999997
258,-12692003.1388,3899894.6152000003
259,-5300006.3137,-1386322.179
260,-7526005.357599998,-1459068.2816999995
261,-6644005.736450002,-4199171.4824
262,-5510006.223499999,-1847047.4959444446
263,-11768003.53567222,5694298.4812
264,-8534004.9247,868807.0038555557
265,-8030005.141149999,-392125.4425000003
266,-5678006.15135,-1798550.0941999997
267,-6056005.988999999,-901348.1612
268,-6560005.7725,-1677306.5897
269,-10886003.9145,3584661.5036555557
270,-5132006.385849999,-1822798.7950555556
271,-10676004.0047,4918340.0527
272,-5678006.15135,-780104.6566999997
273,-9332004.581927778,4045386.8206000007
274,-8828004.798400002,6276267.302600001
275,-7106005.538000001,-1362073.4781000002
276,-6812005.6643,-1871296.1967999996
277,-4922006.47605,-1168083.8709999998
278,-10760003.968600001,5403314.070499999
279,-10424004.112900002,4336371.231300001
280,-7694005.28545,92848.57534444498
281,-11474003.661950001,4118132.9233
282,-6098005.970949999,-1362073.4781
283,-10550004.058799999,1984247.2448444439
284,-6140005.9529,-2501762.4200000004
285,-8576004.906649997,553573.8923000003
